param n := 100;
param d := 4;
set POINTS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;
param y :=
1 -1
2 -1
3 1
4 -1
5 1
6 -1
7 -1
8 -1
9 1
10 1
11 1
12 1
13 1
14 1
15 -1
16 -1
17 -1
18 1
19 1
20 -1
21 1
22 1
23 1
24 -1
25 1
26 1
27 -1
28 -1
29 1
30 1
31 -1
32 1
33 -1
34 -1
35 1
36 1
37 1
38 -1
39 -1
40 1
41 -1
42 1
43 1
44 -1
45 1
46 -1
47 -1
48 1
49 1
50 -1
51 -1
52 -1
53 1
54 -1
55 1
56 -1
57 1
58 1
59 1
60 1
61 1
62 -1
63 1
64 1
65 -1
66 1
67 -1
68 -1
69 -1
70 -1
71 1
72 -1
73 1
74 1
75 -1
76 -1
77 1
78 1
79 1
80 -1
81 -1
82 1
83 1
84 1
85 1
86 -1
87 1
88 1
89 -1
90 1
91 1
92 1
93 -1
94 1
95 1
96 1
97 1
98 -1
99 -1
100 1
;
param X : 1 2 3 4 :=
1 0.124 0.007 0.389 0.267
2 0.236 0.466 0.748 0.124
3 0.609 0.516 0.756 0.122
4 0.416 0.203 0.672 0.034
5 0.533 0.965 0.1 0.951
6 0.5 0.333 0.521 0.619
7 0.086 0.0 0.65 0.115
8 0.773 0.137 0.601 0.82
9 0.67 0.873 0.596 0.279
10 0.097 0.695 0.735 0.802
11 0.011 0.621 0.983 0.4
12 0.924 0.605 0.839 0.991
13 0.66 0.372 0.393 0.891
14 0.527 0.687 0.578 0.821
15 0.13 0.269 0.184 0.891
16 0.192 0.745 0.139 0.252
17 0.829 0.766 0.246 0.018
18 0.382 0.521 0.951 0.86
19 0.45 0.626 0.596 0.888
20 0.765 0.515 0.572 0.092
21 0.639 0.329 0.852 0.517
22 0.889 0.478 0.623 0.279
23 0.8 0.607 0.775 0.314
24 0.083 0.16 0.213 0.333
25 0.879 0.857 0.813 0.097
26 0.234 0.567 0.371 0.833
27 0.969 0.067 0.005 0.292
28 0.255 0.574 0.205 0.574
29 0.893 0.127 0.899 0.658
30 0.811 0.394 0.504 0.717
31 0.457 0.662 0.317 0.21
32 0.934 0.312 0.845 0.551
33 0.112 0.402 0.145 0.13
34 0.067 0.265 0.676 0.758
35 0.376 0.3 0.791 0.942
36 0.542 0.538 0.851 0.963
37 0.692 0.654 0.803 0.734
38 0.082 0.056 0.397 0.501
39 0.511 0.05 0.42 0.375
40 0.251 0.704 0.47 0.775
41 0.523 0.663 0.689 0.066
42 0.558 0.885 0.15 0.49
43 0.099 0.955 0.329 0.899
44 0.635 0.219 0.577 0.544
45 0.401 0.627 0.959 0.901
46 0.357 0.112 0.512 0.523
47 0.334 0.624 0.603 0.009
48 0.39 0.912 0.426 0.794
49 0.632 0.467 0.833 0.146
50 0.258 0.7 0.199 0.146
51 0.152 0.022 0.546 0.698
52 0.04 0.552 0.206 0.964
53 0.864 0.459 0.307 0.819
54 0.08 0.468 0.425 0.201
55 0.297 0.372 0.608 0.761
56 0.014 0.217 0.064 0.978
57 0.419 0.372 0.385 0.485
58 0.831 0.269 0.495 0.667
59 0.237 0.555 0.8 0.709
60 0.034 0.788 0.742 0.948
61 0.904 0.745 0.858 0.045
62 0.038 0.625 0.032 0.611
63 0.927 0.936 0.846 0.407
64 0.176 0.354 0.491 0.058
65 0.394 0.477 0.166 0.278
66 0.917 0.846 0.744 0.512
67 0.967 0.005 0.881 0.127
68 0.559 0.806 0.421 0.15
69 0.954 0.379 0.362 0.058
70 0.534 0.163 0.137 0.739
71 0.192 0.753 0.957 0.15
72 0.025 0.397 0.93 0.044
73 0.79 0.842 0.735 0.634
74 0.621 0.918 0.085 0.475
75 0.209 0.177 0.144 0.583
76 0.743 0.561 0.387 0.128
77 0.81 0.287 0.088 0.897
78 0.191 0.329 0.656 0.858
79 0.917 0.83 0.509 0.546
80 0.137 0.759 0.708 0.251
81 0.874 0.539 0.236 0.029
82 0.626 0.864 0.106 0.624
83 0.56 0.814 0.757 0.383
84 0.039 0.644 0.992 0.437
85 0.511 0.794 0.735 0.437
86 0.374 0.765 0.446 0.036
87 0.311 0.133 0.806 0.055
88 0.476 0.32 0.871 0.467
89 0.394 0.33 0.372 0.394
90 0.93 0.738 0.488 0.371
91 0.947 0.799 0.086 0.373
92 0.001 0.978 0.725 0.853
93 0.343 0.613 0.469 0.276
94 0.242 0.355 0.769 0.763
95 0.632 0.61 0.837 0.218
